,single_y,,,,,,,,,,,,,,,,single_n,,,,,,,,,,,,,,,,double,,,,,,,,,,,,,,,
,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,
dfs_s,21.890625,2.3912352356848863,44.703125,2.2795132277649883,17.171875,2.3268937500043965,16.375,2.541715456206194,0,0.0,0,0.0,39.390625,1.907522181526567,39.390625,1.907522181526567,22.640625,3.199043445821574,46.984375,4.565196800292056,0,0.0,21.796875,2.489212838540641,0,0.0,0,0.0,77.0625,6.534098594637553,77.0625,6.534098594637553,0,0.0,0,0.0,0,0.0,0,0.0,29.573529411764707,2.4936706533702973,16.176470588235293,2.3559462811615743,31.514705882352942,0.5034996052651829,31.514705882352942,0.5034996052651829
dfs_se,21.5,2.3637473611411153,43.671875,2.906231332078635,17.171875,2.3268937500043965,15.359375,2.432368938050651,0,0.0,0,0.0,37.328125,2.3841719303881574,37.328125,2.3841719303881574,22.09375,3.2254875354386106,45.921875,4.811707572359813,0,0.0,20.765625,2.3820905017925242,0,0.0,0,0.0,73.953125,7.4395547048428385,73.953125,7.4395547048428385,0,0.0,0,0.0,0,0.0,0,0.0,28.779411764705884,2.8538823425176716,15.102941176470589,2.3635269994407007,29.529411764705884,2.1122993642092096,29.529411764705884,2.1122993642092096
dfs_sb,21.890625,2.3912352356848863,44.703125,2.2795132277649883,17.171875,2.3268937500043965,16.375,2.541715456206194,0,0.0,0,0.0,39.390625,1.907522181526567,39.390625,1.907522181526567,14.1875,2.6419990026793596,45.6875,4.378428361939353,0,0.0,20.734375,3.193456541514176,0,0.0,0,0.0,60,5.407226205560041,60,5.407226205560041,0,0.0,0,0.0,0,0.0,0,0.0,34.529411764705884,1.8404297700175871,9.470588235294118,1.2152094375756628,31.852941176470587,0.35679777634476006,31.852941176470587,0.35679777634476006
dfs_sbe,21.5,2.3637473611411153,43.671875,2.906231332078635,17.171875,2.3268937500043965,15.359375,2.432368938050651,0,0.0,0,0.0,37.328125,2.3841719303881574,37.328125,2.3841719303881574,13.6875,2.6718699236468995,44.5625,4.1818769993981455,0,0.0,20.09375,3.4259455883891636,0,0.0,0,0.0,57.625,5.958853623637395,57.625,5.958853623637395,0,0.0,0,0.0,0,0.0,0,0.0,33.75,1.8477497407597199,8.617647058823529,1.4354718581925814,30.073529411764707,1.7898234422271704,30.073529411764707,1.7898234422271704
dfs_r,27.353125,3.6920151861260386,42.20625,3.5464225179829234,15.9640625,2.914046022532889,20.2765625,2.6929597070079003,0,0.0,0,0.0,49.621875,4.854775773305775,49.621875,4.854775773305775,21.421875,3.024183628637373,44.04375,4.032492249244764,0,0.0,23.55625,2.748160574178854,0,0.0,0,0.0,74.615625,6.172461907030307,74.615625,6.172461907030307,0,0.0,0,0.0,0,0.0,0,0.0,26.966176470588234,2.826401423299797,18.65,2.686545323123337,31.466176470588234,0.5470796196136866,31.466176470588234,0.5470796196136866
dfs_re,26.7546875,3.5604517695932034,41.13125,3.796665821678588,16.2890625,2.887977192648553,19.490625,3.026214043941639,0,0.0,0,0.0,47.5046875,4.595021109257573,47.5046875,4.595021109257573,20.9703125,3.2425274482629525,42.9453125,4.058856106249186,0,0.0,22.7484375,2.7522926671531684,0,0.0,0,0.0,72.2109375,6.905410937459115,72.2109375,6.905410937459115,0,0.0,0,0.0,0,0.0,0,0.0,26.16029411764706,3.0313841798616146,17.930882352941175,2.879451211466664,29.883823529411764,1.6199338423660703,29.883823529411764,1.6199338423660703
dfs_rb,22.65625,2.7811052058281063,42.0578125,3.4845648782098797,16.775,2.6600857764418366,18.265625,2.647479017607089,0,0.0,0,0.0,39.33125,2.2930032380625325,39.33125,2.2930032380625325,14.4359375,2.584222454141335,44.0515625,4.055039646854108,0,0.0,21.865625,2.6814273842305347,0,0.0,0,0.0,60.4734375,5.336787091435391,60.4734375,5.336787091435391,0,0.0,0,0.0,0,0.0,0,0.0,33.96176470588235,1.9473957846823884,9.29264705882353,1.2546016831445812,31.73235294117647,0.45937819806485825,31.73235294117647,0.45937819806485825
dfs_rbe,22.05625,2.6894493330754474,40.9953125,3.5863997006732315,16.6734375,2.63619575737558,17.515625,2.6000613180442467,0,0.0,0,0.0,37.4671875,2.7672664482231664,37.4671875,2.7672664482231664,13.9859375,2.519058322422962,43.2625,4.131239057502572,0,0.0,21.0015625,2.7598162935562223,0,0.0,0,0.0,58.2296875,5.663384293417636,58.2296875,5.663384293417636,0,0.0,0,0.0,0,0.0,0,0.0,33.33382352941177,2.1357542768562503,8.494117647058824,1.5484214350374415,30.17794117647059,1.6944286761348755,30.17794117647059,1.6944286761348755
dfsLook_s,22.859375,3.1965615827606,49.90625,3.100019201169413,9.046875,3.3258472485420794,21.421875,2.991016642473852,0,0.0,0,0.0,55.8125,1.7895197546774813,55.8125,1.7895197546774813,24.28125,2.785841470438097,50.78125,4.369696331754191,0,0.0,24.578125,2.7185703963664434,0,0.0,0,0.0,88.265625,5.979441465395848,88.265625,5.979441465395848,0,0.0,0,0.0,0,0.0,0,0.0,32.94117647058823,2.996925553690561,18.823529411764707,2.9164544845267284,39.6764705882353,1.3094510239778592,39.6764705882353,1.3094510239778592
dfsLook_se,22.03125,3.3804702875604993,47.0625,3.5895571641806505,9.046875,3.3258472485420794,19.3125,2.932440340263779,0,0.0,0,0.0,50.859375,3.176636873392492,50.859375,3.176636873392492,22.953125,2.751217263062194,47.84375,4.896447529862687,0,0.0,22.46875,2.6184252507281536,0,0.0,0,0.0,80.65625,6.99028520888721,80.65625,6.99028520888721,0,0.0,0,0.0,0,0.0,0,0.0,30.470588235294116,3.22985415425681,16.705882352941178,2.74845315263354,34.64705882352941,3.231213005826985,34.64705882352941,3.231213005826985
dfsLook_sb,21.375,3.2096085900912126,47.515625,3.4594805899702563,9.109375,3.418517210814496,21.328125,2.895287290073904,0,0.0,0,0.0,52.421875,1.716444160337165,52.421875,1.716444160337165,17.3125,3.0905642367676656,47.421875,4.316100119100024,0,0.0,25.3125,3.370624736026114,0,0.0,0,0.0,75.078125,6.780702514290211,75.078125,6.780702514290211,0,0.0,0,0.0,0,0.0,0,0.0,32.661764705882355,3.1128539197816387,18.08823529411765,0.8417340686450933,38.39705882352941,1.487657739107673,38.39705882352941,1.487657739107673
