,single_y,,,,,,,,,,,,,,,,,,single_n,,,,,,,,,,,,,,,,,,double,,,,,,,,,,,,,,,,,
,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,cost,,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,cost,,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,cost,
direct,12.333333333333334,2.982992727787831,14.5,3.0847673289381503,7.5,1.535543791899829,17,2.401753745210274,0,0.0,0,0.0,27.666666666666668,1.873171623163388,27.666666666666668,1.873171623163388,719.0,45.30481559160653,12.333333333333334,2.954627651905314,15.833333333333334,3.278853030097942,0,0.0,17.791666666666668,2.392605567892203,0,0.0,0,0.0,51.666666666666664,7.028762961711671,51.666666666666664,7.028762961711671,768.9166666666666,57.65900973402832,0,0.0,0,0.0,0,0.0,0,0.0,10.666666666666666,2.540893612664094,16.833333333333332,2.4221202832779936,27,2.051956704170308,27,2.051956704170308,826.3333333333334,68.22048876781298
zigZag,15.166666666666666,2.778362511554969,23.5,2.546411303445653,6.875,1.4743419584771762,9,1.3764944032233706,0,0.0,0,0.0,28.8125,2.04842686752028,28.8125,2.04842686752028,687.9166666666666,52.63732249362847,16.333333333333332,3.120953520511477,23.833333333333332,2.4221202832779936,0,0.0,9.791666666666666,1.2970952703448104,0,0.0,0,0.0,62.041666666666664,8.53958789424342,62.041666666666664,8.53958789424342,776.4166666666666,73.2515013917145,0,0.0,0,0.0,0,0.0,0,0.0,17.416666666666668,2.3200120991820015,8.833333333333334,1.350763267011941,28,2.284962282309918,28,2.284962282309918,725.3333333333334,58.297723466731604
directZigZag,7.875,2.1872838239048424,26.375,2.8031936673804942,2.2708333333333335,1.2437563364909558,6.166666666666667,2.0757581578364475,0,0.0,0,0.0,28.708333333333332,1.811754989050914,28.708333333333332,1.811754989050914,581.9791666666666,47.644512395484846,7.854166666666667,2.1811593569363237,26.5,2.8580449703655084,0,0.0,6.958333333333333,1.9134794247056668,0,0.0,0,0.0,43.708333333333336,5.982283786167756,43.708333333333336,5.982283786167756,634.78125,61.07621694502525,0,0.0,0,0.0,0,0.0,0,0.0,19.458333333333332,5.4751431928723235,6,1.9681677292665674,28,2.051956704170308,28,2.051956704170308,681.1666666666666,116.58714081539512
dfs_s,20.791666666666668,4.220044067284673,44.333333333333336,4.644559163640981,20.104166666666668,3.7905121627743594,25.833333333333332,3.7294465983339355,0,0.0,0,0.0,50.5625,1.2295698862867284,50.5625,1.2295698862867284,1470.3125,38.006180245350954,25.958333333333332,3.3526632513858265,44.083333333333336,4.138819223088091,0,0.0,33.770833333333336,3.8071378022884903,0,0.0,0,0.0,97.70833333333333,6.733915208486644,97.70833333333333,6.733915208486644,1626.3958333333333,60.22798425748033,0,0.0,0,0.0,0,0.0,0,0.0,30.8125,3.1231310200536018,26.229166666666668,3.818181343510261,45.770833333333336,0.42250298452179547,45.770833333333336,0.42250298452179547,1586.2083333333333,71.74250984805484
dfs_se,19.333333333333332,4.29115777940165,42.520833333333336,4.180101148780384,20.104166666666668,3.7905121627743594,23.4375,5.314949125864359,0,0.0,0,0.0,46.333333333333336,4.397766578297782,46.333333333333336,4.397766578297782,1382.3125,106.94782914063632,24.520833333333332,3.295863968407315,42.3125,3.8887489532049546,0,0.0,31.166666666666668,4.964434915988699,0,0.0,0,0.0,90.64583333333333,9.484590457175832,90.64583333333333,9.484590457175832,1523.8854166666667,123.16011143322993,0,0.0,0,0.0,0,0.0,0,0.0,29.541666666666668,2.9874004424430236,23.8125,5.380887228740354,41.583333333333336,4.669422745043526,41.583333333333336,4.669422745043526,1471.5416666666667,170.13443085220436
dfs_sb,20.791666666666668,4.220044067284673,44.333333333333336,4.644559163640981,20.104166666666668,3.7905121627743594,25.833333333333332,3.7294465983339355,0,0.0,0,0.0,50.5625,1.2295698862867284,50.5625,1.2295698862867284,1470.3125,38.006180245350954,14.8125,3.19642069558403,49.854166666666664,4.56526742553672,0,0.0,24.1875,4.228506019611978,0,0.0,0,0.0,74.83333333333333,6.4541568272608,74.83333333333333,6.4541568272608,1364.5729166666667,66.78535843189877,0,0.0,0,0.0,0,0.0,0,0.0,40.854166666666664,3.904057718152572,10.541666666666666,1.5211952825719972,44.916666666666664,0.5363947224252062,44.916666666666664,0.5363947224252062,1313.0,76.53991046987737
dfs_sbe,19.333333333333332,4.29115777940165,42.520833333333336,4.180101148780384,20.104166666666668,3.7905121627743594,23.4375,5.314949125864359,0,0.0,0,0.0,46.333333333333336,4.397766578297782,46.333333333333336,4.397766578297782,1382.3125,106.94782914063632,14.125,3.2027948321492756,48.083333333333336,5.021357892813387,0,0.0,23.645833333333332,4.121775720210804,0,0.0,0,0.0,71.45833333333333,8.031407645732461,71.45833333333333,8.031407645732461,1318.0625,94.28577081907623,0,0.0,0,0.0,0,0.0,0,0.0,40.208333333333336,4.098566287622428,9.604166666666666,2.1100220336423363,43.145833333333336,2.3928805220868123,43.145833333333336,2.3928805220868123,1264.875,110.1493005926621
dfs_r,29.191666666666666,4.433112363528327,47.641666666666666,4.235351167658002,15.944791666666667,3.384943962479669,21.977083333333333,3.5065105294512646,0,0.0,0,0.0,60.58541666666667,4.486917123078809,60.58541666666667,4.486917123078809,1481.9895833333333,56.37027885045573,23.490625,3.6238572863605207,48.40625,4.3084371115415445,0,0.0,26.734375,3.626640166861847,0,0.0,0,0.0,92.24479166666667,7.264801794113253,92.24479166666667,7.264801794113253,1511.8651041666667,74.50634394324372,0,0.0,0,0.0,0,0.0,0,0.0,32.973958333333336,3.8793521704117757,21.365625,3.2253986868695232,45.057291666666664,0.686415906729131,45.057291666666664,0.686415906729131,1480.6770833333333,75.39025956004602
dfs_re,28.870833333333334,4.488658321590154,46.865625,4.158194245049411,15.980208333333334,3.3973282697747003,21.251041666666666,3.3714279684949653,0,0.0,0,0.0,59.09791666666667,4.93427034216041,59.09791666666667,4.93427034216041,1453.0239583333334,66.96402275119264,22.930208333333333,3.6878070322800283,47.369791666666664,4.23744221628125,0,0.0,26.169791666666665,3.4978503689672595,0,0.0,0,0.0,89.78854166666666,7.975723983033013,89.78854166666666,7.975723983033013,1477.3942708333334,86.25541054489624,0,0.0,0,0.0,0,0.0,0,0.0,32.442708333333336,3.8831806188747273,20.764583333333334,3.1222561815998393,43.672916666666666,2.1437631325403808,43.672916666666666,2.1437631325403808,1446.4833333333333,88.922971278484
