,single_y,,,,,,,,,,,,,,,,single_n,,,,,,,,,,,,,,,,double,,,,,,,,,,,,,,,
,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,
dfs_s,30.89430894308943,5.738585260237729,60.32520325203252,5.835864152734337,21.51219512195122,5.0931742391624315,28.48780487804878,4.977598758863384,0,0.0,0,0.0,64.46341463414635,1.646121536689979,64.46341463414635,1.646121536689979,33.15447154471545,3.6932204621956135,63.235772357723576,5.630830385742421,0,0.0,36.75609756097561,4.682267671522089,0,0.0,0,0.0,125.82926829268293,7.368194072257151,125.82926829268293,7.368194072257151,0,0.0,0,0.0,0,0.0,0,0.0,42.733870967741936,4.718255277246463,28.491935483870968,4.922977431651683,59.37903225806452,0.6323622242756083,59.37903225806452,0.6323622242756083
dfs_se,29.308943089430894,5.569427791341239,57.577235772357724,6.031349969977633,21.51219512195122,5.0931742391624315,26.040650406504064,5.895814539289771,0,0.0,0,0.0,59.26829268292683,5.314800199399427,59.26829268292683,5.314800199399427,31.4390243902439,3.8371487481975053,60.292682926829265,6.020091643707805,0,0.0,34.235772357723576,5.288529655298091,0,0.0,0,0.0,117.1869918699187,10.525028401111118,117.1869918699187,10.525028401111118,0,0.0,0,0.0,0,0.0,0,0.0,40.54838709677419,4.924395615112691,26.06451612903226,5.863961777795372,54.21774193548387,5.235216093211183,54.21774193548387,5.235216093211183
dfs_sb,30.89430894308943,5.738585260237729,60.32520325203252,5.835864152734337,21.51219512195122,5.0931742391624315,28.48780487804878,4.977598758863384,0,0.0,0,0.0,64.46341463414635,1.646121536689979,64.46341463414635,1.646121536689979,20.040650406504064,3.1993810210361358,65.03252032520325,4.747622285564299,0,0.0,30.772357723577237,4.080768587463342,0,0.0,0,0.0,99.16260162601625,6.50267786420111,99.16260162601625,6.50267786420111,0,0.0,0,0.0,0,0.0,0,0.0,53.11290322580645,4.668193148865143,14.266129032258064,2.4696824158680477,59.225806451612904,0.6728015650801494,59.225806451612904,0.6728015650801494
dfs_sbe,29.308943089430894,5.569427791341239,57.577235772357724,6.031349969977633,21.51219512195122,5.0931742391624315,26.040650406504064,5.895814539289771,0,0.0,0,0.0,59.26829268292683,5.314800199399427,59.26829268292683,5.314800199399427,19.048780487804876,3.394435317331968,62.886178861788615,5.426412714800892,0,0.0,29.975609756097562,4.191058817339103,0,0.0,0,0.0,94.55284552845528,8.451601121014281,94.55284552845528,8.451601121014281,0,0.0,0,0.0,0,0.0,0,0.0,51.62096774193548,4.86499482688498,12.89516129032258,3.277959280855188,56.04838709677419,4.448174630114554,56.04838709677419,4.448174630114554
dfs_r,39.23658536585366,4.892011526629659,60.43821138211382,4.448677047571425,18.740650406504066,3.555015421315229,29.0739837398374,3.768771026823455,0,0.0,0,0.0,78.59918699186991,5.313859489535409,78.59918699186991,5.313859489535409,29.914634146341463,4.072375790271505,62.59512195121951,4.793572005570093,0,0.0,33.65365853658537,3.8899066712419508,0,0.0,0,0.0,118.94227642276422,8.159960075546499,118.94227642276422,8.159960075546499,0,0.0,0,0.0,0,0.0,0,0.0,42.13548387096774,4.476396595563527,28.059677419354838,3.6708374405447812,58.737096774193546,0.8702293206565408,58.737096774193546,0.8702293206565408
dfs_re,39.266666666666666,5.036444343984309,59.02439024390244,4.842622356511094,18.665040650406503,3.5446698141159128,28.391869918699186,4.034948898216439,0,0.0,0,0.0,76.89268292682927,5.798335536423777,76.89268292682927,5.798335536423777,29.045528455284554,4.00401043935419,61.08780487804878,4.99735626389513,0,0.0,32.857723577235774,3.9422294463077945,0,0.0,0,0.0,115.11869918699188,8.74559844744694,115.11869918699188,8.74559844744694,0,0.0,0,0.0,0,0.0,0,0.0,40.91935483870968,4.392922575247074,27.12741935483871,3.5599180806400623,56.71290322580645,2.5772634642179706,56.71290322580645,2.5772634642179706
dfs_rb,33.1,4.654079463761235,60.391056910569105,4.460558699368227,19.48130081300813,3.705500268051954,27.26991869918699,3.8913631380675278,0,0.0,0,0.0,63.95528455284553,2.017123734786082,63.95528455284553,2.017123734786082,19.596747967479676,3.1640766094993746,62.74471544715447,4.7009720313342545,0,0.0,31.95528455284553,3.826435886712761,0,0.0,0,0.0,98.34634146341463,6.344751009097308,98.34634146341463,6.344751009097308,0,0.0,0,0.0,0,0.0,0,0.0,51.829032258064515,4.234048051749954,15.120967741935484,2.6939466472265274,58.62741935483871,0.8578873679134171,58.62741935483871,0.8578873679134171
dfs_rbe,32.40325203252033,4.8411703148923495,58.77642276422764,4.807398375175754,19.495934959349594,3.7910733739839197,26.37642276422764,4.026025612137502,0,0.0,0,0.0,61.43658536585366,3.5461107241785212,61.43658536585366,3.5461107241785212,18.805691056910568,3.0034642545835513,61.3,4.741512051420653,0,0.0,31.03008130081301,3.7388170104741905,0,0.0,0,0.0,94.8,7.02528271555837,94.8,7.02528271555837,0,0.0,0,0.0,0,0.0,0,0.0,50.88467741935484,4.34624408751451,14.353225806451613,2.8901445482720294,56.855645161290326,2.5198422391704365,56.855645161290326,2.5198422391704365
dfsLook_s,37.8780487804878,4.6014704810272224,70.47967479674797,5.375032738742743,14.235772357723578,4.180519421827726,32.3739837398374,3.3027518927868638,0,0.0,0,0.0,93.00813008130082,4.918176282948108,93.00813008130082,4.918176282948108,40.2520325203252,3.8657671516873475,72.00813008130082,4.361711077538695,0,0.0,34.73170731707317,3.8476587957765322,0,0.0,0,0.0,151.2439024390244,10.155626288017851,151.2439024390244,10.155626288017851,0,0.0,0,0.0,0,0.0,0,0.0,50,3.934421786838311,29.362903225806452,3.0211575809232456,70.6774193548387,4.125172353328161,70.6774193548387,4.125172353328161
dfsLook_se,34.53658536585366,4.225784790682216,63.00813008130081,4.847672984019171,14.235772357723578,4.180519421827726,26.853658536585368,5.809380383468109,0,0.0,0,0.0,80.01626016260163,7.885433488959869,80.01626016260163,7.885433488959869,36.7479674796748,3.918416993715533,64.53658536585365,4.94277529217791,0,0.0,29.211382113821138,6.023522242446792,0,0.0,0,0.0,131.2439024390244,13.809204262051438,131.2439024390244,13.809204262051438,0,0.0,0,0.0,0,0.0,0,0.0,44.17741935483871,4.194553935404898,23.879032258064516,5.472165698317739,57.774193548387096,7.967248721476991,57.774193548387096,7.967248721476991
dfsLook_sb,37.41463414634146,4.8500918180733965,66.8130081300813,4.023190140891855,11.878048780487806,4.312743917271418,31.308943089430894,2.793816595423863,0,0.0,0,0.0,86.26829268292683,2.9338979016388937,86.26829268292683,2.9338979016388937,26.552845528455286,2.826117222959828,68.41463414634147,4.178255242712046,0,0.0,34.72357723577236,3.608507281884293,0,0.0,0,0.0,120.6260162601626,7.4265787348315015,120.6260162601626,7.4265787348315015,0,0.0,0,0.0,0,0.0,0,0.0,49.274193548387096,3.9516153117415866,26.508064516129032,1.8631905834549976,65.74193548387096,3.003713061929427,65.74193548387096,3.003713061929427
dfsLook_sbe,34.170731707317074,4.785064394916185,60.77235772357724,4.558927484114128,11.878048780487806,4.312743917271418,26.528455284552845,4.784409796672139,0,0.0,0,0.0,75.44715447154472,7.046919164106479,75.44715447154472,7.046919164106479,23.91869918699187,3.0530648292155176,62.72357723577236,4.659382941289104,0,0.0,30.5609756097561,5.011701621080858,0,0.0,0,0.0,105.5040650406504,11.442926072927724,105.5040650406504,11.442926072927724,0,0.0,0,0.0,0,0.0,0,0.0,45.87096774193548,3.93435512827372,20.322580645161292,4.775527701819125,55.04838709677419,6.651431582211478,55.04838709677419,6.651431582211478
