,single_y,,,,,,,,,,,,,,,,single_n,,,,,,,,,,,,,,,,double,,,,,,,,,,,,,,,
,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,
direct,1.6666666666666667,0.6859943405700354,4.222222222222222,0.6467616667635546,5.666666666666667,1.5339299776947408,6.222222222222222,1.3527990831890462,0,0.0,0,0.0,6.888888888888889,1.2313975269103985,6.888888888888889,1.2313975269103985,2.4444444444444446,1.1991282236408358,5.333333333333333,1.3719886811400708,0,0.0,6.666666666666667,1.5339299776947408,0,0.0,0,0.0,10.666666666666666,2.1693045781865616,10.666666666666666,2.1693045781865616,0,0.0,0,0.0,0,0.0,0,0.0,3.1,0.7181848464596079,6,1.4509525002200232,6,1.4509525002200232,6,1.4509525002200232
zigZag,1.8888888888888888,0.7583952786593615,4.777777777777778,0.9428090415820634,2.5555555555555554,1.293523333527109,6.222222222222222,1.3527990831890462,0,0.0,0,0.0,8,1.0846522890932808,8,1.0846522890932808,2.5555555555555554,1.0966377611066325,5.222222222222222,0.9428090415820634,0,0.0,6.666666666666667,1.5339299776947408,0,0.0,0,0.0,12.444444444444445,2.52568504911445,12.444444444444445,2.52568504911445,0,0.0,0,0.0,0,0.0,0,0.0,3.5,1.1470786693528088,6,1.4509525002200232,7,1.4509525002200232,7,1.4509525002200232
directZigZag,2.7777777777777777,1.3527990831890462,4.777777777777778,0.9428090415820634,4.555555555555555,2.228748586412992,5.888888888888889,1.2313975269103985,0,0.0,0,0.0,7.111111111111111,1.0226199851298272,7.111111111111111,1.0226199851298272,2.5555555555555554,1.0966377611066325,5,1.1881770515720091,0,0.0,6.666666666666667,1.3719886811400708,0,0.0,0,0.0,10.88888888888889,2.6764526322747537,10.88888888888889,2.6764526322747537,0,0.0,0,0.0,0,0.0,0,0.0,3.2,1.1964860832322377,5.7,1.3018205875255096,6,1.4509525002200232,6,1.4509525002200232
dfs_s,8.88888888888889,2.2462750575089703,19.333333333333332,2.3763541031440183,7.888888888888889,1.0226199851298272,4.666666666666667,3.6622076273584425,0,0.0,0,0.0,13.555555555555555,2.7055981663780924,13.555555555555555,2.7055981663780924,9.555555555555555,0.9835244081556432,20,1.9402850002906638,0,0.0,7.888888888888889,1.6409785061104059,0,0.0,0,0.0,27.11111111111111,1.9670488163112865,27.11111111111111,1.9670488163112865,0,0.0,0,0.0,0,0.0,0,0.0,11.6,2.643761275949575,4,2.9019050004400464,8,0.0,8,0.0
dfs_se,8.666666666666666,2.0579830217101063,19.333333333333332,2.3763541031440183,7.888888888888889,1.0226199851298272,4,3.3606722016672235,0,0.0,0,0.0,12.88888888888889,2.6321292854195817,12.88888888888889,2.6321292854195817,9.444444444444445,0.9835244081556432,20,1.9402850002906638,0,0.0,7.222222222222222,1.262842524557225,0,0.0,0,0.0,26.22222222222222,2.691064857144747,26.22222222222222,2.691064857144747,0,0.0,0,0.0,0,0.0,0,0.0,11.6,2.643761275949575,3,2.513123449750173,7,1.4509525002200232,7,1.4509525002200232
dfs_sb,8.88888888888889,2.2462750575089703,19.333333333333332,2.3763541031440183,7.888888888888889,1.0226199851298272,4.666666666666667,3.6622076273584425,0,0.0,0,0.0,13.555555555555555,2.7055981663780924,13.555555555555555,2.7055981663780924,5.666666666666667,0.8401680504168059,18.11111111111111,0.9002541398626663,0,0.0,8,0.9701425001453319,0,0.0,0,0.0,19.333333333333332,1.6803361008336117,19.333333333333332,1.6803361008336117,0,0.0,0,0.0,0,0.0,0,0.0,15,0.0,0,0.0,8,0.0,8,0.0
dfs_sbe,8.666666666666666,2.0579830217101063,19.333333333333332,2.3763541031440183,7.888888888888889,1.0226199851298272,4,3.3606722016672235,0,0.0,0,0.0,12.88888888888889,2.6321292854195817,12.88888888888889,2.6321292854195817,5.444444444444445,0.8555852638929972,17.88888888888889,0.5829830881301374,0,0.0,7.777777777777778,1.262842524557225,0,0.0,0,0.0,18.666666666666668,1.8786728732554485,18.666666666666668,1.8786728732554485,0,0.0,0,0.0,0,0.0,0,0.0,14.6,0.5026246899500346,0,0.0,7.6,0.5026246899500346,7.6,0.5026246899500346
dfs_r,12.716666666666667,1.9895677641809932,16.655555555555555,2.6027965669570445,6.727777777777778,1.9341984194390185,8.933333333333334,2.350799222230649,0,0.0,0,0.0,21.233333333333334,3.0655774925988237,21.233333333333334,3.0655774925988237,9.172222222222222,1.916790134473554,17.366666666666667,2.298651535722969,0,0.0,9.894444444444444,1.6729768811735057,0,0.0,0,0.0,26.344444444444445,3.833580268947108,26.344444444444445,3.833580268947108,0,0.0,0,0.0,0,0.0,0,0.0,10.025,1.7491922040856946,6.665,1.9575328026285623,8,0.0,8,0.0
dfs_re,12.833333333333334,2.213468170266318,16.405555555555555,2.4373656037373244,6.438888888888889,1.7724265754154618,8.555555555555555,2.3067116603613846,0,0.0,0,0.0,20.31111111111111,3.180402435603051,20.31111111111111,3.180402435603051,8.527777777777779,1.6045694372114354,17.38888888888889,2.4775841740575957,0,0.0,8.96111111111111,1.8531684746418982,0,0.0,0,0.0,24.533333333333335,3.3231875389442607,24.533333333333335,3.3231875389442607,0,0.0,0,0.0,0,0.0,0,0.0,9.425,1.9630698449317594,6.58,2.1972115723041643,7.43,0.7469199737831229,7.43,0.7469199737831229
dfs_rb,9.633333333333333,2.0925513015743893,16.9,2.7606573583621943,7.438888888888889,1.554103916087582,6.9222222222222225,3.178938292170076,0,0.0,0,0.0,14.3,1.9082297508745913,14.3,1.9082297508745913,5.705555555555556,0.7959199183645363,17.216666666666665,2.077479672032797,0,0.0,8.744444444444444,1.7628133374858852,0,0.0,0,0.0,19.41111111111111,1.5918398367290727,19.41111111111111,1.5918398367290727,0,0.0,0,0.0,0,0.0,0,0.0,14.83,0.716706593878236,0,0.0,8,0.0,8,0.0
dfs_rbe,9.38888888888889,1.773135621355408,16.511111111111113,2.8195028859531606,7.783333333333333,1.5545032798059237,6.716666666666667,2.7851862720170804,0,0.0,0,0.0,13.722222222222221,1.560889144817287,13.722222222222221,1.560889144817287,5.55,0.8540079677254466,17.133333333333333,2.1595571654480437,0,0.0,8.127777777777778,1.7208240054125155,0,0.0,0,0.0,18.75,1.9799977427897524,18.75,1.9799977427897524,0,0.0,0,0.0,0,0.0,0,0.0,14.48,0.8385198732823493,0,0.0,7.675,0.46955019639509615,7.675,0.46955019639509615
