,single_y,,,,,,,,,,,,,,,,,,single_n,,,,,,,,,,,,,,,,,,double,,,,,,,,,,,,,,,,,
,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,cost,,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,cost,,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,cost,
dfs_s,30.32857142857143,6.516655867843355,62.74285714285714,7.722126881667208,26.521428571428572,5.996963088916362,36.207142857142856,6.807207805623493,0,0.0,0,0.0,73.33571428571429,1.4963298711339315,73.33571428571429,1.4963298711339315,2067.2642857142855,75.47736434364347,36,3.712704224937734,63.44285714285714,7.325201820159204,0,0.0,46.09285714285714,7.1659631417716065,0,0.0,0,0.0,139.62857142857143,7.420894918925812,139.62857142857143,7.420894918925812,2284.057142857143,73.4358009085988,0,0.0,0,0.0,0,0.0,0,0.0,43.15714285714286,5.957005945570319,36.57857142857143,6.964522487871648,67.49285714285715,0.6174492501957691,67.49285714285715,0.6174492501957691,2230.4714285714285,113.56349872449694
dfs_se,28.32857142857143,6.686658957689108,59.90714285714286,7.020931120043456,26.521428571428572,5.996963088916362,32.72857142857143,8.180379102526258,0,0.0,0,0.0,67.00714285714285,6.4423245598805945,67.00714285714285,6.4423245598805945,1937.142857142857,160.035487136001,34.207142857142856,3.835645816334699,60.66428571428571,6.81049836468184,0,0.0,42.42857142857143,8.154217567096913,0,0.0,0,0.0,129.78571428571428,11.816209884429439,129.78571428571428,11.816209884429439,2138.3035714285716,164.6734909457095,0,0.0,0,0.0,0,0.0,0,0.0,41.07857142857143,5.2752549219221745,33.08571428571429,8.368737400180253,61.23571428571429,6.664207751394856,61.23571428571429,6.664207751394856,2059.0857142857144,230.72726699914816
dfs_sb,30.32857142857143,6.516655867843355,62.74285714285714,7.722126881667208,26.521428571428572,5.996963088916362,36.207142857142856,6.807207805623493,0,0.0,0,0.0,73.33571428571429,1.4963298711339315,73.33571428571429,1.4963298711339315,2067.2642857142855,75.47736434364347,21.185714285714287,4.03863662849985,68.97142857142858,4.561242505754337,0,0.0,34.885714285714286,4.76359956137052,0,0.0,0,0.0,109.26428571428572,8.039122607093438,109.26428571428572,8.039122607093438,1940.2071428571428,96.56548055564926,0,0.0,0,0.0,0,0.0,0,0.0,59.48571428571429,5.086992460371922,15.064285714285715,2.7568377105633872,66.63571428571429,0.7317143984817637,66.63571428571429,0.7317143984817637,1908.1857142857143,109.13733581058065
dfs_sbe,28.32857142857143,6.686658957689108,59.90714285714286,7.020931120043456,26.521428571428572,5.996963088916362,32.72857142857143,8.180379102526258,0,0.0,0,0.0,67.00714285714285,6.4423245598805945,67.00714285714285,6.4423245598805945,1937.142857142857,160.035487136001,20.164285714285715,4.008284073359084,66.62142857142857,5.106728326775799,0,0.0,34.22857142857143,4.905352908113201,0,0.0,0,0.0,104.6,9.415126356908162,104.6,9.415126356908162,1878.2535714285714,120.29559660558114,0,0.0,0,0.0,0,0.0,0,0.0,58.18571428571428,5.074390085313105,13.871428571428572,3.3043308340794666,63.90714285714286,3.7376105716353614,63.90714285714286,3.7376105716353614,1835.4857142857143,143.28547174488833
dfs_r,41.47,5.096547486589262,66.77428571428571,4.84518539430193,21.30785714285714,3.925714202849047,31.462857142857143,4.264157227760892,0,0.0,0,0.0,87.64,5.334323829872371,87.64,5.334323829872371,2092.572142857143,69.80151433567583,32.86714285714286,4.394037855037215,68.24142857142857,5.145794145308174,0,0.0,37.44857142857143,4.3359871117931466,0,0.0,0,0.0,132.585,8.804114193567743,132.585,8.804114193567743,2135.839285714286,90.81144735209753,0,0.0,0,0.0,0,0.0,0,0.0,46.67785714285714,4.818189384314676,30.477857142857143,3.8420674357889397,66.44,0.883070865200752,66.44,0.883070865200752,2113.652857142857,97.64446341486256
dfs_re,41.10214285714286,5.170045795939798,65.68428571428572,4.9060111256410455,21.152857142857144,3.884803752316986,30.52357142857143,3.971235220939015,0,0.0,0,0.0,85.465,5.945684879971592,85.465,5.945684879971592,2051.401785714286,81.31718861831163,31.915714285714287,4.301541047868841,66.73785714285714,5.194624811032758,0,0.0,36.70928571428571,4.183998867474351,0,0.0,0,0.0,128.72357142857143,9.451657298686865,128.72357142857143,9.451657298686865,2085.3142857142857,100.68984258136743,0,0.0,0,0.0,0,0.0,0,0.0,45.8,5.02104221287797,29.48785714285714,4.027939731240409,64.43071428571429,2.7525125679161397,64.43071428571429,2.7525125679161397,2058.3585714285714,110.46090972996876
dfs_rb,34.739285714285714,4.742989958082255,67.40214285714286,5.001257423834818,22.269285714285715,3.938182010164758,29.695714285714285,4.254953324698643,0,0.0,0,0.0,72.225,1.893921090734007,72.225,1.893921090734007,1978.6053571428572,53.018892945484154,21.943571428571428,3.4947670614864808,68.10142857142857,4.9513427426891505,0,0.0,36.151428571428575,4.416155371484036,0,0.0,0,0.0,110.79785714285714,6.978563806616844,110.79785714285714,6.978563806616844,1963.7225,81.23956552011506,0,0.0,0,0.0,0,0.0,0,0.0,57.77285714285714,4.663346083180439,15.979285714285714,2.6988996891916903,66.39428571428572,0.8689523099816024,66.39428571428572,0.8689523099816024,1900.412857142857,91.74018293036484
dfs_rbe,34.33571428571429,4.911963651027626,66.10714285714286,5.0783657642890585,21.902142857142856,3.9294705486891512,28.72,4.346849030907125,0,0.0,0,0.0,69.94571428571429,3.430289572560676,69.94571428571429,3.430289572560676,1931.7892857142858,75.11358489419956,21.052142857142858,3.3870199159374317,66.63071428571429,5.037108847008151,0,0.0,35.419285714285714,4.273601940088262,0,0.0,0,0.0,107.06428571428572,7.714630340510027,107.06428571428572,7.714630340510027,1914.5289285714287,93.6367369790028,0,0.0,0,0.0,0,0.0,0,0.0,56.74357142857143,4.873007896919856,15.41,2.7679700734250536,64.50142857142858,2.9032526117374804,64.50142857142858,2.9032526117374804,1855.1771428571428,117.99600212685583
dfsLook_s,40.51428571428571,4.649569817319167,77.8,6.23888940494975,15.042857142857143,4.230535501201595,35.121428571428574,3.957449685901766,0,0.0,0,0.0,104.82857142857142,4.8841880500785715,104.82857142857142,4.8841880500785715,2280.557142857143,98.74657057544378,44.82142857142857,4.6693056454561415,78.48571428571428,5.6050923843594695,0,0.0,37.857142857142854,4.573258883332255,0,0.0,0,0.0,168.39285714285714,10.708496209019346,168.39285714285714,10.708496209019346,2464.8607142857145,107.12685057722008,0,0.0,0,0.0,0,0.0,0,0.0,54.93571428571428,4.706051078379031,31.792857142857144,3.727202026114736,78.75,3.3266419648934162,78.75,3.3266419648934162,2367.5,104.00667521466414
dfsLook_se,36.23571428571429,4.23179250808084,68.52142857142857,5.888004947437485,15.042857142857143,4.230535501201595,27.32857142857143,6.094510865746568,0,0.0,0,0.0,87.75714285714285,8.260046360567571,87.75714285714285,8.260046360567571,1946.4035714285715,184.0141621116612,39.878571428571426,4.48413326986516,69.19285714285714,5.708628366006289,0,0.0,30.064285714285713,6.460962703380257,0,0.0,0,0.0,141.43571428571428,13.636710248172035,141.43571428571428,13.636710248172035,2087.3535714285713,194.3936477226633,0,0.0,0,0.0,0,0.0,0,0.0,47.90714285714286,4.467140505512646,24,5.706237909440571,61.67857142857143,7.7749531976132875,61.67857142857143,7.7749531976132875,1924.857142857143,227.60007116575272
