,single_y,,,,,,,,,,,,,,,,,,single_n,,,,,,,,,,,,,,,,,,double,,,,,,,,,,,,,,,,,
,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,cost,,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,cost,,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,cost,
dfs_s,10.272727272727273,1.315903389919538,19.40909090909091,1.7636296692870674,7,2.3502786055720124,5.545454545454546,1.5954480704349312,0,0.0,0,0.0,14.545454545454545,1.1009637651263606,14.545454545454545,1.1009637651263606,498.0,35.53368623071433,8.454545454545455,1.5032432470296548,20.318181818181817,2.4569893237042235,0,0.0,7.818181818181818,1.592732412176175,0,0.0,0,0.0,26.90909090909091,3.0064864940593097,26.90909090909091,3.0064864940593097,518.3636363636364,31.75133361210496,0,0.0,0,0.0,0,0.0,0,0.0,12.208333333333334,1.2150922908825974,5.375,1.4084373085707127,10,0.0,10,0.0,445.4166666666667,32.834124172039786
dfs_se,10.045454545454545,1.1742179860604585,18.818181818181817,2.038588765750502,7,2.3502786055720124,4.954545454545454,1.6468519095902983,0,0.0,0,0.0,13.318181818181818,1.7011582507043235,13.318181818181818,1.7011582507043235,474.70454545454544,43.272849480528805,8.363636363636363,1.5900121157206721,20,2.449489742783178,0,0.0,7.181818181818182,1.7357957866601166,0,0.0,0,0.0,25.772727272727273,3.890547986641938,25.772727272727273,3.890547986641938,498.3636363636364,43.91229945345658,0,0.0,0,0.0,0,0.0,0,0.0,11.958333333333334,1.1601786469133206,4.666666666666667,1.4345630047135447,8.916666666666666,1.316010660280157,8.916666666666666,1.316010660280157,414.8333333333333,41.58142004253369
dfs_sb,10.272727272727273,1.315903389919538,19.40909090909091,1.7636296692870674,7,2.3502786055720124,5.545454545454546,1.5954480704349312,0,0.0,0,0.0,14.545454545454545,1.1009637651263606,14.545454545454545,1.1009637651263606,498.0,35.53368623071433,5.2727272727272725,0.9351250581921514,20.318181818181817,2.884876223083206,0,0.0,7.045454545454546,1.7037010895686493,0,0.0,0,0.0,20.545454545454547,1.8702501163843028,20.545454545454547,1.8702501163843028,461.5,27.22306445085193,0,0.0,0,0.0,0,0.0,0,0.0,14.083333333333334,0.8297022339981069,2.6666666666666665,0.4815434123430768,10,0.0,10,0.0,401.6666666666667,14.345630047135446
dfs_sbe,10.045454545454545,1.1742179860604585,18.818181818181817,2.038588765750502,7,2.3502786055720124,4.954545454545454,1.6468519095902983,0,0.0,0,0.0,13.318181818181818,1.7011582507043235,13.318181818181818,1.7011582507043235,474.70454545454544,43.272849480528805,5.090909090909091,0.9211323729436766,19.681818181818183,3.1073854211932184,0,0.0,6.7727272727272725,1.8239626714491246,0,0.0,0,0.0,19.5,2.0873770280289223,19.5,2.0873770280289223,444.40909090909093,30.518782804956423,0,0.0,0,0.0,0,0.0,0,0.0,13.75,1.1131623577819225,2.2083333333333335,0.721060008759246,9.208333333333334,0.9770927002733857,9.208333333333334,0.9770927002733857,378.0833333333333,33.90769653128875
dfs_r,11.945454545454545,2.110363052305532,17.836363636363636,2.504889365769416,6.495454545454545,1.7504017210740686,7.236363636363636,1.7643205205200865,0,0.0,0,0.0,18.381818181818183,2.743133621836133,18.381818181818183,2.743133621836133,530.6363636363636,38.12799335301346,8.377272727272727,1.9789836001502794,18.96818181818182,2.6524540827043785,0,0.0,8.709090909090909,1.5867341293289345,0,0.0,0,0.0,26.754545454545454,3.957967200300559,26.754545454545454,3.957967200300559,518.5068181818182,44.16587350572689,0,0.0,0,0.0,0,0.0,0,0.0,10.679166666666667,1.7190732072169785,6.691666666666666,1.7201529236938813,10,0.0,10,0.0,454.3333333333333,33.9882660858159
dfs_re,11.904545454545454,2.09259998047638,17.013636363636362,2.386184638170058,6.527272727272727,1.6369539085741482,7.1863636363636365,1.7272448709820354,0,0.0,0,0.0,17.62727272727273,3.1255584806064913,17.62727272727273,3.1255584806064913,517.7613636363636,41.530850149181155,8.227272727272727,1.742087609837316,18.3,2.740029663539726,0,0.0,8.277272727272727,1.610590469498692,0,0.0,0,0.0,25.668181818181818,3.745790497453036,25.668181818181818,3.745790497453036,498.21363636363634,41.835127529293835,0,0.0,0,0.0,0,0.0,0,0.0,10.3,1.7409659224396767,6.4875,1.7995379462750103,9.295833333333333,0.8821707567543398,9.295833333333333,0.8821707567543398,437.80833333333334,42.12887099447571
dfs_rb,9.786363636363637,1.5094210854773165,17.5,2.489246277884828,7.340909090909091,1.4949409636666209,6.536363636363636,1.661694534387198,0,0.0,0,0.0,14.145454545454545,1.648779061968196,14.145454545454545,1.648779061968196,493.9704545454546,30.646463810441205,5.181818181818182,1.1200278713249168,19.418181818181818,2.9201920815718987,0,0.0,7.531818181818182,1.7785855453516048,0,0.0,0,0.0,20.363636363636363,2.2400557426498335,20.363636363636363,2.2400557426498335,459.1272727272727,33.82319975760851,0,0.0,0,0.0,0,0.0,0,0.0,13.745833333333334,1.0010367707819037,2.6125,0.4881975215869925,10,0.0,10,0.0,393.2916666666667,20.403829254741005
dfs_rbe,9.309090909090909,1.4911945782615401,16.46818181818182,2.401271802225034,7.090909090909091,1.5021777466616193,6.418181818181818,1.6211040726245136,0,0.0,0,0.0,12.959090909090909,1.6915473694559444,12.959090909090909,1.6915473694559444,470.6227272727273,32.66179860966678,4.8545454545454545,1.0840172506703636,18.436363636363637,2.9733282328741995,0,0.0,7.290909090909091,1.7819257683059062,0,0.0,0,0.0,18.936363636363637,2.256506665826233,18.936363636363637,2.256506665826233,436.4818181818182,35.088630589966314,0,0.0,0,0.0,0,0.0,0,0.0,13.229166666666666,1.0597146401505984,2.279166666666667,0.6542293474398744,9.225,0.9370344032122553,9.225,0.9370344032122553,369.85833333333335,32.28787765146084
dfsLook_s,10.909090909090908,1.540225429050687,22.045454545454547,2.0581376863394576,2.1818181818181817,1.651445647689541,7.2727272727272725,2.0512903762734833,0,0.0,0,0.0,22,1.4474937289114918,22,1.4474937289114918,543.2272727272727,38.264657096124395,9.727272727272727,1.9069251784911847,23.136363636363637,2.007022303846803,0,0.0,8.272727272727273,1.7232808737106582,0,0.0,0,0.0,32.81818181818182,4.294363566532117,32.81818181818182,4.294363566532117,588.1818181818181,46.74081153770721,0,0.0,0,0.0,0,0.0,0,0.0,13.666666666666666,1.88048714009375,6.25,1.4218787326754636,13.375,0.9696480760071398,13.375,0.9696480760071398,514.3333333333334,39.137068680824015
dfsLook_se,9.454545454545455,1.9694638556693238,19.454545454545453,2.1320071635561044,2.1818181818181817,1.651445647689541,6.454545454545454,2.324348812591906,0,0.0,0,0.0,18.59090909090909,2.3836564731139807,18.59090909090909,2.3836564731139807,478.3636363636364,53.93165468093276,8.909090909090908,1.9001025262836768,20.545454545454547,2.344746361088017,0,0.0,7.454545454545454,1.8702501163843028,0,0.0,0,0.0,27.772727272727273,5.172563315746967,27.772727272727273,5.172563315746967,520.2727272727273,63.92736340729056,0,0.0,0,0.0,0,0.0,0,0.0,11.75,1.8708286933869707,5.375,1.5269321331121546,9.833333333333334,1.7610932046210157,9.833333333333334,1.7610932046210157,435.5833333333333,48.78695180749323
dfsLook_sb,9.909090909090908,1.540225429050687,19.40909090909091,2.1747269321542944,2.5,1.7113069358158484,7.181818181818182,1.651445647689541,0,0.0,0,0.0,18.90909090909091,1.0649878563622845,18.90909090909091,1.0649878563622845,497.90909090909093,28.87932048222658,6.818181818181818,1.2960145368218983,20.318181818181817,1.8096662053792614,0,0.0,8.5,1.4719601443879744,0,0.0,0,0.0,26.863636363636363,3.059652245186021,26.863636363636363,3.059652245186021,521.4545454545455,31.167714175511925,0,0.0,0,0.0,0,0.0,0,0.0,13.791666666666666,1.3824731042801415,5.75,0.4423258684646914,13.75,0.6079187588743288,13.75,0.6079187588743288,503.3333333333333,29.74480834008526
dfsLook_sbe,8.363636363636363,1.6488222216523887,16.727272727272727,2.0743746775908884,2.5,1.7113069358158484,6.454545454545454,1.8702501163843028,0,0.0,0,0.0,15.5,1.819209666180292,15.5,1.819209666180292,433.1818181818182,44.33544896166086,6.136363636363637,0.9902118361842988,17.772727272727273,1.9006720160390935,0,0.0,7.636363636363637,1.2552918289216957,0,0.0,0,0.0,22.09090909090909,3.0536331352464927,22.09090909090909,3.0536331352464927,455.0681818181818,38.31209415369458,0,0.0,0,0.0,0,0.0,0,0.0,12.416666666666666,1.176459931750543,4.166666666666667,0.816496580927726,10.416666666666666,1.6396358733271998,10.416666666666666,1.6396358733271998,415.0,43.96441248575251
dfsLook_r,10.959090909090909,1.8685474276599712,19.577272727272728,2.4806892211718483,3.0454545454545454,1.4231379800473378,8.213636363636363,1.739888059839513,0,0.0,0,0.0,21.595454545454544,2.3862194306979463,21.595454545454544,2.3862194306979463,540.3068181818181,37.83477899030639,9.209090909090909,1.8010420856930374,20.55909090909091,2.7781204991287787,0,0.0,9.25909090909091,1.7778852274848225,0,0.0,0,0.0,31.763636363636362,3.889870401351556,31.763636363636362,3.889870401351556,570.5181818181818,48.082355494725185,0,0.0,0,0.0,0,0.0,0,0.0,12.329166666666667,1.8980234525683035,7.441666666666666,1.7657638281469552,13.0625,1.0146675362920707,13.0625,1.0146675362920707,522.0833333333334,40.67785130963481
dfsLook_re,9.840909090909092,2.0467502007797296,17.34090909090909,2.8997179977686875,3.022727272727273,1.5273553764033256,7.513636363636364,1.755564006614413,0,0.0,0,0.0,18.94090909090909,3.437791460906857,18.94090909090909,3.437791460906857,486.11136363636365,60.90973265725749,8.195454545454545,2.02788264246802,18.272727272727273,3.094874510506441,0,0.0,8.295454545454545,1.632707159645393,0,0.0,0,0.0,26.39090909090909,5.073155160190652,26.39090909090909,5.073155160190652,500.95681818181816,63.48619523379547,0,0.0,0,0.0,0,0.0,0,0.0,10.6,2.034842935967928,6.4125,1.847946389303701,9.8875,1.9598079702702325,9.8875,1.9598079702702325,443.925,55.13690264671025
dfsLook_rb,9.854545454545455,2.0555587343234,18.486363636363638,2.426037499577568,2.909090909090909,1.7177316174263135,7.795454545454546,1.7977604720372031,0,0.0,0,0.0,18.445454545454545,1.1827246898532122,18.445454545454545,1.1827246898532122,500.7409090909091,26.763357678704537,6.913636363636364,1.27383054239033,20.504545454545454,1.9502902892996012,0,0.0,8.690909090909091,1.4413682904710459,0,0.0,0,0.0,26.945454545454545,3.0843140150007313,26.945454545454545,3.0843140150007313,527.7931818181818,37.00242740233972,0,0.0,0,0.0,0,0.0,0,0.0,13.1375,1.3940436652364137,5.75,0.43391764060527876,13.75,0.5963627550114557,13.75,0.5963627550114557,490.25,30.514760815301546
dfsLook_rbe,8.45,2.0344633434619586,16.318181818181817,2.6738436007916384,3.018181818181818,1.7120673939164157,6.781818181818182,1.8842380007588024,0,0.0,0,0.0,15.295454545454545,1.9814153127903464,15.295454545454545,1.9814153127903464,439.41136363636366,43.13287961715608,6.081818181818182,0.9028804052320164,18.104545454545455,2.2006593600393987,0,0.0,7.722727272727273,1.3414473946058456,0,0.0,0,0.0,22.01818181818182,2.866852977428117,22.01818181818182,2.866852977428117,459.6818181818182,40.288895513552504,0,0.0,0,0.0,0,0.0,0,0.0,11.729166666666666,1.4967130420574926,4.166666666666667,0.8009756951095373,10.4125,1.6030338652760139,10.4125,1.6030338652760139,401.23333333333335,48.053097085099665
shortestBacktrack_s,8.818181818181818,1.8422647458873531,19.181818181818183,1.7081419489459644,7.2727272727272725,1.0771133460194244,4.954545454545454,1.2901558682973793,0,0.0,0,0.0,14.863636363636363,2.007022303846803,14.863636363636363,2.007022303846803,480.8636363636364,32.830800658245785,8.363636363636363,2.08270553311368,18.272727272727273,2.3336425274423345,0,0.0,7.545454545454546,1.2621701918020378,0,0.0,0,0.0,25.40909090909091,4.261221498350991,25.40909090909091,4.261221498350991,484.45454545454544,48.354324446120565,0,0.0,0,0.0,0,0.0,0,0.0,11.625,1.0134958870382644,4.916666666666667,1.176459931750543,9.375,0.6468989572333266,9.375,0.6468989572333266,417.5,26.436141269432483
shortestBacktrack_r,11.077272727272728,2.251013332073049,18.222727272727273,2.5838330908288047,5.581818181818182,1.9083178572807964,7.0181818181818185,1.8430757407033718,0,0.0,0,0.0,16.495454545454546,2.4335886410245133,16.495454545454546,2.4335886410245133,509.5022727272727,46.12380346364204,7.968181818181818,1.816687326840678,17.96818181818182,2.9367590566380377,0,0.0,8.372727272727273,1.6011359603844901,0,0.0,0,0.0,24.486363636363638,3.8255086455065244,24.486363636363638,3.8255086455065244,490.12954545454545,44.57491042124315,0,0.0,0,0.0,0,0.0,0,0.0,10.2875,1.7751922519492793,6.504166666666666,1.766726203570363,9.2,0.9337914795052762,9.2,0.9337914795052762,437.675,41.13426581656445
shortestBacktrack_rb,10.286363636363637,2.4633932595472983,17.654545454545456,2.5389616532085046,5.545454545454546,1.9262017591889309,6.5227272727272725,1.9027573882933306,0,0.0,0,0.0,14.695454545454545,1.9869384615481287,14.695454545454545,1.9869384615481287,482.42045454545456,41.18606061319219,4.831818181818182,1.1522803928634302,18.37727272727273,2.9014925804982843,0,0.0,7.418181818181818,1.7432548059275137,0,0.0,0,0.0,18.454545454545453,2.2620004224505483,18.454545454545453,2.2620004224505483,436.07045454545454,35.34046136991009,0,0.0,0,0.0,0,0.0,0,0.0,13.329166666666667,1.0489999886988073,2.254166666666667,0.7070944535550089,9.170833333333333,1.0020811677038275,9.170833333333333,1.0020811677038275,370.89166666666665,32.24832928975506
shortestBacktrackLook_s,9.090909090909092,2.408498661171685,18.59090909090909,2.805760925719505,2.590909090909091,1.7636296692870674,6.863636363636363,2.076981659488791,0,0.0,0,0.0,18.363636363636363,2.5920290736437965,18.363636363636363,2.5920290736437965,477.40909090909093,60.94858027246769,9,1.927248223318863,19.681818181818183,3.3149928339556767,0,0.0,8,1.4800257398019099,0,0.0,0,0.0,27.272727272727273,4.222184248329273,27.272727272727273,4.222184248329273,519.0909090909091,63.664978105936996,0,0.0,0,0.0,0,0.0,0,0.0,11.5,0.9780192938436515,6.5,1.5879984667608413,9.791666666666666,1.887698545081139,9.791666666666666,1.887698545081139,464.1666666666667,49.49806027527233
shortestBacktrackLook_r,8.290909090909091,1.9855434347865137,16.94090909090909,2.9207428671157256,2.922727272727273,1.461353541021317,7,2.049612949317293,0,0.0,0,0.0,16.113636363636363,2.4346800779109916,16.113636363636363,2.4346800779109916,451.6318181818182,47.413929579189144,8.345454545454546,1.862567401919075,18.204545454545453,3.0459160880227887,0,0.0,8.25909090909091,1.775315031766879,0,0.0,0,0.0,25.55,4.08385282316571,25.55,4.08385282316571,497.01363636363635,56.30865117157524,0,0.0,0,0.0,0,0.0,0,0.0,10.925,1.9605417234459421,6.270833333333333,1.9203772220672863,9.845833333333333,1.826462654927985,9.845833333333333,1.826462654927985,446.0083333333333,54.93564067577133
shortestBacktrackLook_rb,7.745454545454545,1.9276235807743498,16.922727272727272,2.6686804870044964,3,1.3378917511889903,6.5590909090909095,1.889929836321536,0,0.0,0,0.0,15.081818181818182,2.162916254685342,15.081818181818182,2.162916254685342,437.1409090909091,42.748101072310824,6.122727272727273,0.9596573866278647,18.763636363636362,2.3483299136080804,0,0.0,7.468181818181818,1.4025047273254359,0,0.0,0,0.0,20.80909090909091,2.0958556825139727,20.80909090909091,2.0958556825139727,457.7386363636364,37.88996455075036,0,0.0,0,0.0,0,0.0,0,0.0,12.691666666666666,1.6404705587465949,4.245833333333334,1.1652137795367488,10.208333333333334,1.445789346353985,10.208333333333334,1.445789346353985,422.0416666666667,52.32100721864765
